fold,precision,recall,f1-score,support,auc,runtime_sec,contamination,random_state
1,0.07236842105263158,0.2268041237113402,0.10972568578553615,582.0,0.5753196850832191,0.54,0.025547669389294893,42
2,0.06962719298245613,0.21783876500857632,0.10552555047777316,583.0,0.5707227497501692,0.51,0.025547669389294893,42
3,0.06798245614035088,0.21269296740994853,0.10303282093892813,583.0,0.568082325966611,0.52,0.025547669389294893,42
4,0.06304824561403509,0.19759450171821305,0.09559434746467166,582.0,0.5603305181680108,0.52,0.025547669389294893,42
5,0.06962719298245613,0.218213058419244,0.1055694098088113,582.0,0.570909896455503,0.57,0.025547669389294893,42
